Title,Year,Certificate,Length,Genre,Rating
Shutter Island,2010,R,138,"Mystery, Thriller            ",8.2
American History X,1998,R,119,"Crime, Drama            ",8.5
The Green Mile,1999,R,189,"Crime, Drama, Fantasy            ",8.6
The Wolf of Wall Street,2013,R,180,"Biography, Comedy, Crime            ",8.2
Terminator 2: Judgment Day,1991,R,137,"Action, Sci-Fi            ",8.6
The Usual Suspects,1995,R,106,"Crime, Drama, Mystery            ",8.5
Braveheart,1995,R,178,"Biography, Drama, History            ",8.3
Kill Bill: Vol. 1,2003,R,111,"Action, Crime, Thriller            ",8.2
Back to the Future,1985,PG,116,"Adventure, Comedy, Sci-Fi            ",8.5
Goodfellas,1990,R,145,"Biography, Crime, Drama            ",8.7
Léon: The Professional,1994,R,110,"Action, Crime, Drama            ",8.5
WALL·E,2008,G,98,"Animation, Adventure, Family            ",8.4
The Sixth Sense,1999,PG-13,107,"Drama, Mystery, Thriller            ",8.2
The Hunger Games,2012,PG-13,142,"Action, Adventure, Sci-Fi            ",7.2
Iron Man,2008,PG-13,126,"Action, Adventure, Sci-Fi            ",7.9
Finding Nemo,2003,G,100,"Animation, Adventure, Comedy            ",8.2
Star Wars: Episode VI - Return of the Jedi,1983,PG,131,"Action, Adventure, Fantasy            ",8.3
One Flew Over the Cuckoos Nest,1975,R,133,Drama            ,8.7
Guardians of the Galaxy,2014,PG-13,121,"Action, Adventure, Comedy            ",8.0
The Truman Show,1998,PG,103,"Comedy, Drama            ",8.2
Eternal Sunshine of the Spotless Mind,2004,R,108,"Drama, Romance, Sci-Fi            ",8.3
Up,2009,PG,96,"Animation, Adventure, Comedy            ",8.3
Reservoir Dogs,1992,R,99,"Crime, Thriller            ",8.3
Raiders of the Lost Ark,1981,PG,115,"Action, Adventure            ",8.4
Sin City,2005,R,124,"Crime, Thriller            ",8.0
The Lion King,1994,G,88,"Animation, Adventure, Drama            ",8.5
Slumdog Millionaire,2008,R,120,"Crime, Drama, Romance            ",8.0
The Hobbit: An Unexpected Journey,2012,PG-13,169,"Adventure, Fantasy            ",7.8
