Title,Year,Certificate,Length,Genre,Rating
DragonHeart,1996,PG-13,103,"Action, Adventure, Fantasy            ",6.4
Sense and Sensibility,1995,PG,136,"Drama, Romance            ",7.7
A Prophet,2009,R,155,"Crime, Drama            ",7.8
The Experiment,2001,R,120,"Drama, Thriller            ",7.7
The X Files: I Want to Believe,2008,PG-13,104,"Crime, Drama, Horror            ",5.9
Four Rooms,1995,R,98,Comedy            ,6.7
The Lorax,2012,PG,86,"Animation, Adventure, Comedy            ",6.4
30 Minutes or Less,2011,R,83,"Action, Comedy, Crime            ",6.1
The Switch,2010,PG-13,101,"Comedy, Drama, Romance            ",6.1
Safe Haven,2013,PG-13,115,"Drama, Romance, Thriller            ",6.6
U.S. Marshals,1998,PG-13,131,"Action, Crime, Thriller            ",6.6
Jackass Presents: Bad Grandpa,2013,R,92,Comedy            ,6.5
The One,2001,PG-13,87,"Action, Sci-Fi, Thriller            ",5.9
Sahara,2005,PG-13,124,"Action, Adventure, Comedy            ",6.0
Ran,1985,R,160,"Action, Drama, War            ",8.2
The Painted Veil,2006,PG-13,125,"Drama, Romance            ",7.4
Enter the Dragon,1973,R,102,"Action, Crime, Thriller            ",7.6
Boys Dont Cry,1999,R,118,"Biography, Crime, Drama            ",7.5
eXistenZ,1999,R,97,"Horror, Mystery, Sci-Fi            ",6.8
Small Soldiers,1998,PG-13,110,"Action, Adventure, Comedy            ",6.2
Broken Arrow,1996,R,108,"Action, Adventure, Thriller            ",6.1
Braindead,1992,R,104,"Comedy, Fantasy, Horror            ",7.5
Tootsie,1982,PG,116,"Comedy, Drama, Romance            ",7.4
Mr. Smith Goes to Washington,1939,Passed,129,"Comedy, Drama            ",8.1
I Love You Phillip Morris,2009,R,98,"Biography, Comedy, Crime            ",6.6
The Core,2003,PG-13,135,"Action, Adventure, Sci-Fi            ",5.5
Paranormal Activity 3,2011,R,83,"Horror, Mystery, Thriller            ",5.8
Born on the Fourth of July,1989,R,145,"Biography, Drama, War            ",7.2
Year One,2009,PG-13,97,Comedy            ,4.9
Naked Gun 33 1/3: The Final Insult,1994,PG-13,83,"Comedy, Crime            ",6.5
Runaway Jury,2003,PG-13,127,"Crime, Drama, Thriller            ",7.1
The Lucky One,2012,PG-13,101,"Drama, Mystery, Romance            ",6.4
Volver,2006,R,121,"Comedy, Drama            ",7.6
That Awkward Moment,2014,R,94,"Comedy, Romance            ",6.1
Midnight Cowboy,1969,R,113,Drama            ,7.8
The Walk,2015,PG,123,"Adventure, Biography, Drama            ",7.3
Intolerable Cruelty,2003,PG-13,100,"Comedy, Crime, Romance            ",6.3
Jobs,2013,PG-13,128,"Biography, Drama            ",6.0
Waiting...,2005,R,94,Comedy            ,6.7
Colombiana,2011,PG-13,108,"Action, Drama, Thriller            ",6.4
The Spy Who Loved Me,1977,PG,125,"Action, Adventure, Thriller            ",7.0
Me and Earl and the Dying Girl,2015,PG-13,105,"Comedy, Drama, Romance            ",7.7
Patton,1970,GP,172,"Biography, Drama, War            ",7.9
The Box,2009,PG-13,115,"Drama, Mystery, Thriller            ",5.6
Season of the Witch,2011,PG-13,95,"Action, Adventure, Fantasy            ",5.4
Hellraiser,1987,R,94,"Horror, Thriller            ",6.9
The Devils Rejects,2005,R,107,"Crime, Drama, Horror            ",6.7
Skyline,2010,PG-13,92,"Action, Sci-Fi, Thriller            ",4.5
Superman II,1980,PG,127,"Action, Adventure, Sci-Fi            ",6.8
Super Troopers,2001,R,100,"Comedy, Crime, Mystery            ",7.0
Saw VI,2009,R,90,"Horror, Mystery, Thriller            ",6.0
Conspiracy Theory,1997,R,135,"Action, Drama, Mystery            ",6.7
The Hurricane,1999,R,146,"Biography, Drama, Sport            ",7.6
Elizabeth,1998,R,124,"Biography, Drama, History            ",7.4
Philomena,2013,PG-13,98,"Biography, Comedy, Drama            ",7.6
Kikis Delivery Service,1989,G,103,"Animation, Family, Fantasy            ",7.8
Jacobs Ladder,1990,R,113,"Drama, Horror, Mystery            ",7.4
The Rite,2011,PG-13,114,"Drama, Horror, Mystery            ",6.0
Ghost Ship,2002,R,91,"Horror, Mystery, Thriller            ",5.6
The Last Boy Scout,1991,R,105,"Action, Comedy, Crime            ",7.0
Run All Night,2015,R,114,"Action, Crime, Thriller            ",6.6
Monsters,2010,R,94,"Adventure, Drama, Romance            ",6.4
Glengarry Glen Ross,1992,R,100,"Crime, Drama, Mystery            ",7.7
Bean,1997,PG-13,89,"Adventure, Comedy, Family            ",6.5
Ride Along,2014,PG-13,99,"Action, Comedy, Crime            ",6.1
In the Mood for Love,2000,PG,98,"Drama, Romance            ",8.1
Dreamcatcher,2003,R,134,"Drama, Horror, Sci-Fi            ",5.5
Cop Out,2010,R,107,"Action, Comedy, Crime            ",5.5
Tango & Cash,1989,R,104,"Action, Comedy, Crime            ",6.4
A Nightmare on Elm Street,2010,R,95,"Crime, Drama, Horror            ",5.2
The Best Exotic Marigold Hotel,2011,PG-13,124,"Comedy, Drama, Romance            ",7.2
I Origins,2014,R,106,"Drama, Mystery, Romance            ",7.3
The Guardian,2006,PG-13,139,"Action, Adventure, Drama            ",6.9
Home Alone 3,1997,PG,102,"Action, Comedy, Crime            ",4.6
The Final Destination,2009,R,82,"Horror, Thriller            ",5.1
You Only Live Twice,1967,PG,117,"Action, Adventure, Thriller            ",6.8
The Muppets,2011,PG,103,"Adventure, Comedy, Family            ",7.1
Edge of Darkness,2010,R,117,"Action, Adventure, Drama            ",6.6
Cheaper by the Dozen,2003,PG,98,"Comedy, Family            ",5.9
Friday the 13th,2009,R,97,"Horror, Mystery, Thriller            ",5.5
Disaster Movie,2008,PG-13,87,"Comedy, Sci-Fi            ",1.9
Live and Let Die,1973,PG,121,"Action, Adventure, Thriller            ",6.7
Nick and Norahs Infinite Playlist,2008,PG-13,90,"Comedy, Drama, Music            ",6.6
Our Idiot Brother,2011,R,90,"Comedy, Drama            ",6.4
Easy Rider,1969,R,95,"Adventure, Drama            ",7.3
Crocodile Dundee,1986,PG-13,97,"Action, Adventure, Comedy            ",6.6
The Losers,2010,PG-13,97,"Action, Adventure, Comedy            ",6.2
The Hot Chick,2002,PG-13,104,"Comedy, Fantasy            ",5.6
Good Luck Chuck,2007,R,96,"Comedy, Romance            ",5.6
The Conversation,1974,PG,113,"Drama, Mystery, Thriller            ",7.8
Letters to Juliet,2010,PG,105,"Adventure, Comedy, Drama            ",6.5
Friday,1995,R,91,"Comedy, Drama            ",7.2
Harry Brown,2009,R,103,"Action, Crime, Drama            ",7.2
My Sisters Keeper,2009,PG-13,109,"Drama, Family            ",7.3
Joy,2015,PG-13,124,"Biography, Drama            ",6.6
Octopussy,1983,PG,131,"Action, Adventure, Thriller            ",6.5
Doctor Dolittle,1998,PG-13,85,"Comedy, Family, Fantasy            ",5.4
Bridget Jones: The Edge of Reason,2004,R,108,"Comedy, Drama, Romance            ",6.0
Runaway Bride,1999,PG,116,"Comedy, Romance            ",5.6
Diamonds Are Forever,1971,PG,120,"Action, Adventure, Thriller            ",6.5
Here Comes the Boom,2012,PG,105,"Action, Comedy, Sport            ",6.4
Revolver,2005,R,111,"Action, Crime, Drama            ",6.3
101 Dalmatians,1996,G,103,"Adventure, Comedy, Crime            ",5.7
In the Line of Fire,1993,R,128,"Action, Crime, Drama            ",7.2
Licence to Kill,1989,PG-13,133,"Action, Adventure, Thriller            ",6.6
Yojimbo,1961,Not Rated,110,"Action, Drama, Thriller            ",8.2
The Man with the Golden Gun,1974,PG,125,"Action, Adventure, Thriller            ",6.7
Sixteen Candles,1984,PG,93,"Comedy, Romance            ",7.0
Frankenweenie,2012,PG,87,"Animation, Comedy, Drama            ",6.9
Notorious,1946,Not Rated,102,"Drama, Film-Noir, Romance            ",7.9
The Lobster,2015,R,119,"Drama, Romance, Sci-Fi            ",7.1
All the Presidents Men,1976,PG,138,"Drama, History, Thriller            ",7.9
Election,1999,R,103,"Comedy, Romance            ",7.3
The Girl Who Played with Fire,2009,R,129,"Action, Crime, Drama            ",7.1
Anaconda,1997,PG-13,89,"Action, Adventure, Horror            ",4.9
Righteous Kill,2008,R,101,"Crime, Mystery, Thriller            ",6.0
Grosse Pointe Blank,1997,R,107,"Action, Comedy, Crime            ",7.3
They Live,1988,R,94,"Action, Horror, Sci-Fi            ",7.2
Beginners,2010,R,105,"Comedy, Drama, Romance            ",7.2
Dead Man Walking,1995,R,122,"Crime, Drama            ",7.5
The Thomas Crown Affair,1999,R,113,"Crime, Romance, Thriller            ",6.8
Filth,2013,R,97,"Action, Comedy, Crime            ",7.0
Finding Forrester,2000,PG-13,136,Drama            ,7.3
Sky Captain and the World of Tomorrow,2004,PG,106,"Action, Adventure, Mystery            ",6.1
The Raven,2012,R,110,"Crime, Mystery, Thriller            ",6.4
Touch of Evil,1958,PG-13,95,"Crime, Drama, Film-Noir            ",8.0
Killers,2010,PG-13,100,"Action, Comedy, Romance            ",5.4
A Christmas Carol,2009,PG,96,"Animation, Adventure, Comedy            ",6.8
We Own the Night,2007,R,117,"Action, Crime, Drama            ",6.8
Sex Drive,2008,R,109,"Comedy, Romance            ",6.5
War,2007,R,103,"Action, Crime, Thriller            ",6.2
Haywire,2011,R,93,"Action, Drama, Thriller            ",5.8
Cashback,2006,R,102,"Comedy, Drama, Romance            ",7.1
Piranha 3D,2010,R,88,"Comedy, Horror            ",5.5
St. Vincent,2014,PG-13,102,"Comedy, Drama            ",7.2
Primer,2004,PG-13,77,"Drama, Sci-Fi, Thriller            ",6.7
Atlantis: The Lost Empire,2001,PG,95,"Animation, Action, Adventure            ",6.9
Sling Blade,1996,R,135,Drama            ,8.0
Bedtime Stories,2008,PG,99,"Adventure, Comedy, Family            ",6.0
Final Fantasy: The Spirits Within,2001,PG-13,106,"Animation, Action, Adventure            ",6.4
The People vs. Larry Flynt,1996,R,130,"Biography, Drama            ",7.3
Driving Miss Daisy,1989,PG,99,"Comedy, Drama, Romance            ",7.3
ParaNorman,2012,PG,92,"Animation, Adventure, Comedy            ",7.0
Brooklyn,2015,PG-13,117,"Drama, Romance            ",7.5
The Warriors,1979,R,93,"Action, Crime, Thriller            ",7.5
Dead Man,1995,R,121,"Adventure, Drama, Fantasy            ",7.5
For Your Eyes Only,1981,PG,127,"Action, Adventure, Thriller            ",6.7
West Side Story,1961,Approved,153,"Crime, Drama, Musical            ",7.6
WarGames,1983,PG,114,"Action, Drama, Sci-Fi            ",7.1
The Heartbreak Kid,2007,R,116,"Comedy, Romance            ",5.8
Out of Sight,1998,R,123,"Comedy, Crime, Drama            ",7.0
Unthinkable,2010,R,97,"Crime, Drama, Thriller            ",7.0
A League of Their Own,1992,PG,128,"Comedy, Drama, Sport            ",7.3
My Week with Marilyn,2011,R,99,"Biography, Drama            ",6.9
Confessions of a Dangerous Mind,2002,R,113,"Biography, Comedy, Crime            ",7.0
Monsters Ball,2001,R,111,"Drama, Romance            ",7.1
The Legend of Zorro,2005,PG,129,"Action, Adventure, Romance            ",5.9
Treasure Planet,2002,PG,95,"Animation, Adventure, Family            ",7.2
While You Were Sleeping,1995,PG,103,"Comedy, Drama, Romance            ",6.8
Scooby-Doo,2002,PG,86,"Adventure, Comedy, Family            ",5.3
Fantasia,1940,G,124,"Animation, Family, Fantasy            ",7.7
Another Earth,2011,PG-13,92,"Drama, Mystery, Romance            ",6.9
Leap Year,2010,PG,100,"Comedy, Romance            ",6.4
Elektra,2005,PG-13,97,"Action, Adventure, Crime            ",4.7
Fast Times at Ridgemont High,1982,R,90,"Comedy, Drama            ",7.1
The Ring Two,2005,PG-13,110,"Horror, Mystery            ",5.4
Lagaan: Once Upon a Time in India,2001,PG,224,"Drama, Musical, Sport            ",8.1
National Lampoons Vacation,1983,R,98,"Adventure, Comedy            ",7.3
Monster House,2006,PG,91,"Animation, Comedy, Family            ",6.6
Half Nelson,2006,R,106,Drama            ,7.1
In the Heart of the Sea,2015,PG-13,122,"Action, Adventure, Biography            ",6.9
I Saw the Devil,2010,Not Rated,144,"Action, Crime, Thriller            ",7.8
Anna Karenina,2012,R,129,"Drama, Romance            ",6.6
Elephant,2003,R,81,"Crime, Drama, Thriller            ",7.1
Mirror Mirror,2012,PG,106,"Adventure, Comedy, Drama            ",5.6
The New World,2005,PG-13,135,"Biography, Drama, History            ",6.7
A Good Year,2006,PG-13,117,"Comedy, Drama, Romance            ",6.9
Thats My Boy,2012,R,116,Comedy            ,5.5
Ultraviolet,2006,PG-13,88,"Action, Sci-Fi            ",4.3
Beasts of the Southern Wild,2012,PG-13,93,"Adventure, Drama, Fantasy            ",7.2
Amour,2012,PG-13,127,Drama            ,7.9
Sweet November,2001,PG-13,119,"Drama, Romance            ",6.7
The Last Emperor,1987,PG-13,163,"Biography, Drama, History            ",7.7
Brother Bear,2003,G,85,"Animation, Adventure, Comedy            ",6.8
Hide and Seek,2005,R,101,"Horror, Mystery            ",5.9
Persepolis,2007,PG-13,96,"Animation, Biography, Drama            ",8.0
The 400 Blows,1959,Not Rated,99,"Crime, Drama            ",8.1
Bring It On,2000,PG-13,98,"Comedy, Romance, Sport            ",6.1
Ghost Dog: The Way of the Samurai,1999,R,116,"Crime, Drama            ",7.5
Goon,2011,R,92,"Comedy, Drama, Sport            ",6.8
Arlington Road,1999,R,117,"Action, Crime, Drama            ",7.2
Hostel: Part II,2007,R,94,Horror            ,5.5
Ip Man 2,2010,R,108,"Action, Biography, Drama            ",7.5
Its Complicated,2009,R,120,"Comedy, Drama, Romance            ",6.5
Rang De Basanti,2006,Not Rated,167,"Comedy, Crime, Drama            ",8.1
Teenage Mutant Ninja Turtles,1990,PG,93,"Action, Adventure, Comedy            ",6.8
Exam,2009,Not Rated,101,"Crime, Horror, Mystery            ",6.8
Home,2015,PG,94,"Animation, Adventure, Comedy            ",6.5
Eraserhead,1977,Not Rated,89,"Fantasy, Horror            ",7.3
Cool Runnings,1993,PG,98,"Adventure, Comedy, Family            ",7.0
Clear and Present Danger,1994,PG-13,141,"Action, Crime, Drama            ",6.9
Cop Land,1997,R,105,"Crime, Drama, Thriller            ",7.0
Funny Games,2007,R,111,"Crime, Drama, Thriller            ",6.5
The Best Offer,2013,R,131,"Crime, Drama, Mystery            ",7.8
Moonraker,1979,PG,126,"Action, Adventure, Sci-Fi            ",6.2
My Name Is Khan,2010,PG-13,165,"Adventure, Drama, Romance            ",7.9
The Living Daylights,1987,PG,130,"Action, Adventure, Thriller            ",6.7
Analyze That,2002,R,96,"Comedy, Crime            ",5.9
3 Days to Kill,2014,PG-13,117,"Action, Comedy, Drama            ",6.2
All About My Mother,1999,R,101,"Comedy, Drama, Romance            ",7.8
The Weather Man,2005,R,102,"Comedy, Drama            ",6.6
The Quick and the Dead,1995,R,108,"Action, Drama, Romance            ",6.5
Ali G Indahouse,2002,R,85,Comedy            ,6.2
The Spiderwick Chronicles,2008,PG,96,"Action, Adventure, Drama            ",6.5
Universal Soldier,1992,R,102,"Action, Sci-Fi            ",6.1
Biutiful,2010,R,148,"Drama, Romance            ",7.4
The Host,2006,R,120,"Drama, Horror, Sci-Fi            ",7.1
Around the World in 80 Days,2004,PG,120,"Action, Adventure, Comedy            ",5.9
A View to a Kill,1985,PG,131,"Action, Adventure, Thriller            ",6.3
"You, Me and Dupree",2006,PG-13,110,"Comedy, Romance            ",5.6
Jingle All the Way,1996,PG,89,"Adventure, Comedy, Family            ",5.7
Maid in Manhattan,2002,PG-13,105,"Comedy, Drama, Romance            ",5.4
The Frighteners,1996,R,110,"Comedy, Fantasy, Horror            ",7.1
Stalker,1979,Not Rated,162,"Drama, Sci-Fi            ",8.1
Gremlins 2: The New Batch,1990,PG-13,106,"Comedy, Fantasy, Horror            ",6.4
Thirteen,2003,R,100,Drama            ,6.8
Nosferatu,1922,Not Rated,94,"Fantasy, Horror            ",7.9
The Kite Runner,2007,PG-13,128,Drama            ,7.6
The Doors,1991,R,140,"Biography, Drama, Music            ",7.2
Blitz,2011,R,97,"Action, Adventure, Crime            ",6.1
Never Been Kissed,1999,PG-13,107,"Comedy, Drama, Romance            ",6.0
Take Shelter,2011,R,120,"Drama, Horror, Sci-Fi            ",7.3
Secretary,2002,R,107,"Comedy, Drama, Romance            ",6.9
Saw 3D,2010,R,90,"Horror, Mystery            ",5.5
Grandmas Boy,2006,R,94,Comedy            ,6.9
Hidalgo,2004,PG-13,136,"Action, Adventure, Biography            ",6.7
To Rome with Love,2012,R,112,"Comedy, Music, Romance            ",6.3
The Last House on the Left,2009,R,110,"Horror, Thriller            ",6.5
Mean Streets,1973,R,112,"Crime, Drama, Thriller            ",7.2
Beautiful Creatures,2013,PG-13,124,"Drama, Fantasy, Romance            ",6.1
Crazy Heart,2009,R,112,"Drama, Music, Romance            ",7.2
The Gold Rush,1925,Passed,95,"Adventure, Comedy, Drama            ",8.1
August: Osage County,2013,R,121,"Comedy, Drama            ",7.2
Lolita,1962,Not Rated,153,"Crime, Drama, Romance            ",7.5
Step Up 2: The Streets,2008,PG-13,98,"Drama, Music, Romance            ",6.2
Wag the Dog,1997,R,97,"Comedy, Drama            ",7.1
Zathura: A Space Adventure,2005,PG,101,"Action, Adventure, Comedy            ",6.2
Solaris,2002,PG-13,99,"Drama, Mystery, Romance            ",6.2
World Trade Center,2006,PG-13,129,"Drama, History, Thriller            ",6.0
The Bling Ring,2013,R,90,"Biography, Crime, Drama            ",5.6
Ghosts of Girlfriends Past,2009,PG-13,100,"Comedy, Fantasy, Romance            ",5.8
John Tucker Must Die,2006,PG-13,89,"Comedy, Romance            ",5.7
Blood Simple,1984,R,99,"Crime, Drama, Thriller            ",7.6
Journey 2: The Mysterious Island,2012,PG,94,"Action, Adventure, Comedy            ",5.7
What We Do in the Shadows,2014,R,86,"Comedy, Horror            ",7.6
Mr. Poppers Penguins,2011,PG,94,"Comedy, Family, Fantasy            ",6.0
Shes All That,1999,PG-13,95,"Comedy, Romance            ",5.9
Hot Shots! Part Deux,1993,PG-13,86,"Action, Comedy            ",6.6
The Kid,1921,Passed,68,"Comedy, Drama, Family            ",8.2
Night at the Museum: Secret of the Tomb,2014,PG,98,"Adventure, Comedy, Family            ",6.2
Semi-Pro,2008,R,91,"Comedy, Sport            ",5.8
Witness,1985,R,112,"Drama, Romance, Thriller            ",7.4
My Fair Lady,1964,G,170,"Drama, Family, Musical            ",7.7
Big Mommas House,2000,PG-13,99,"Action, Comedy, Crime            ",5.2
Scoop,2006,PG-13,96,"Comedy, Crime, Fantasy            ",6.6
Meet the Robinsons,2007,G,95,"Animation, Adventure, Comedy            ",6.8
Memories of Murder,2003,Not Rated,132,"Crime, Drama, Mystery            ",8.1
New Years Eve,2011,PG-13,118,"Comedy, Romance            ",5.6
The Smurfs,2011,PG,103,"Adventure, Comedy, Family            ",5.4
London Has Fallen,2016,R,99,"Action, Thriller            ",5.9
Elite Squad 2: The Enemy Within,2010,Not Rated,115,"Action, Crime, Drama            ",8.0
42,2013,PG-13,128,"Biography, Drama, Sport            ",7.5
"Love, Rosie",2014,R,102,"Comedy, Romance            ",7.1
The Dukes of Hazzard,2005,PG-13,104,Comedy            ,5.1
The Pacifier,2005,PG,95,"Action, Comedy, Drama            ",5.6
Say Anything,1989,PG-13,100,"Comedy, Drama, Romance            ",7.3
Delicatessen,1991,R,99,"Comedy, Crime            ",7.5
Assault on Precinct 13,2005,R,109,"Action, Crime, Drama            ",6.3
Felon,2008,R,104,"Crime, Thriller            ",7.4
The Celebration,1998,R,105,Drama            ,8.0
Dead Silence,2007,R,89,"Horror, Mystery, Thriller            ",6.1
Malena,2000,R,108,"Drama, Romance, War            ",7.4
Legend of the Guardians: The Owls of GaHoole,2010,PG,97,"Animation, Action, Adventure            ",6.9
Submarine,2010,R,97,"Comedy, Drama, Romance            ",7.3
Following,1998,R,69,"Crime, Mystery, Thriller            ",7.5
"I, Frankenstein",2014,PG-13,92,"Action, Fantasy, Sci-Fi            ",5.1
Spanglish,2004,PG-13,131,"Comedy, Drama, Romance            ",6.4
88 Minutes,2007,R,108,"Crime, Drama, Mystery            ",5.9
Mississippi Burning,1988,R,128,"Crime, Drama, Mystery            ",7.8
Nacho Libre,2006,PG,92,"Comedy, Family, Sport            ",5.9
La Vie En Rose,2007,PG-13,140,"Biography, Drama, Music            ",7.6
Thir13en Ghosts,2001,R,91,"Fantasy, Horror            ",5.6
The Hudsucker Proxy,1994,PG,111,"Comedy, Drama, Fantasy            ",7.2
Battlefield Earth,2000,PG-13,117,"Action, Adventure, Sci-Fi            ",2.5
The Pink Panther,2006,PG,93,"Adventure, Comedy, Crime            ",5.7
Vacation,2015,R,99,"Adventure, Comedy            ",6.1
Taking Lives,2004,R,103,"Crime, Mystery, Thriller            ",6.2
U-571,2000,PG-13,116,"Action, War            ",6.6
Gosford Park,2001,R,137,"Comedy, Drama, Mystery            ",7.2
Open Season,2006,PG,86,"Animation, Adventure, Comedy            ",6.1
The Invasion,2007,PG-13,99,"Sci-Fi, Thriller            ",5.9
Abduction,2011,PG-13,106,"Action, Mystery, Thriller            ",5.1
The Sword in the Stone,1963,G,79,"Animation, Adventure, Comedy            ",7.1
The Bad Lieutenant: Port of Call - New Orleans,2009,R,122,"Crime, Drama            ",6.6
Sister Act,1992,PG,100,"Comedy, Family, Music            ",6.5
It Happened One Night,1934,Passed,105,"Comedy, Romance            ",8.1
Centurion,2010,R,97,"Action, Drama, History            ",6.3
The Magnificent Seven,1960,Approved,128,"Action, Adventure, Drama            ",7.7
The Night of the Hunter,1955,Not Rated,92,"Crime, Drama, Film-Noir            ",8.0
The Guard,2011,R,96,"Comedy, Crime, Thriller            ",7.3
Young Adult,2011,R,94,"Comedy, Drama            ",6.3
The Santa Clause,1994,PG,97,"Comedy, Drama, Family            ",6.5
Snitch,2013,PG-13,112,"Action, Drama, Thriller            ",6.4
Notes on a Scandal,2006,R,92,"Crime, Drama, Romance            ",7.4
Youth in Revolt,2009,R,90,"Comedy, Drama, Romance            ",6.4
Kate & Leopold,2001,PG-13,118,"Comedy, Fantasy, Romance            ",6.4
The Sea Inside,2004,PG-13,126,"Biography, Drama            ",8.0
A Perfect Murder,1998,R,107,"Crime, Drama, Thriller            ",6.6
The Visit,2015,PG-13,94,"Horror, Mystery, Thriller            ",6.2
An American Werewolf in London,1981,R,97,"Comedy, Horror            ",7.5
King Kong,1933,Passed,100,"Adventure, Horror, Sci-Fi            ",7.9
The Day the Earth Stood Still,1951,G,92,"Drama, Sci-Fi            ",7.8
Cloudy with a Chance of Meatballs 2,2013,PG,95,"Animation, Adventure, Comedy            ",6.3
The AristoCats,1970,G,78,"Animation, Adventure, Comedy            ",7.1
Triangle,2009,R,99,"Fantasy, Mystery, Sci-Fi            ",6.9
Snake Eyes,1998,R,98,"Crime, Mystery, Thriller            ",6.1
October Sky,1999,PG,108,"Biography, Drama, Family            ",7.8
Beastly,2011,PG-13,86,"Drama, Fantasy, Romance            ",5.5
Romancing the Stone,1984,PG,106,"Action, Adventure, Comedy            ",6.9
The VVitch: A New-England Folktale,2015,R,92,"Drama, Fantasy, Horror            ",7.0
Three Colors: Red,1994,R,99,"Drama, Mystery, Romance            ",8.1
Swingers,1996,R,96,"Comedy, Drama            ",7.2
Outlander,2008,R,115,"Action, Adventure, Sci-Fi            ",6.2
The House Bunny,2008,PG-13,97,Comedy            ,5.5
The Piano,1993,R,121,"Drama, Music, Romance            ",7.5
Malcolm X,1992,PG-13,202,"Biography, Drama, History            ",7.7
The Big Sleep,1946,Passed,114,"Crime, Film-Noir, Mystery            ",7.9
Phenomenon,1996,PG,123,"Drama, Fantasy, Romance            ",6.4
American Graffiti,1973,PG,110,"Comedy, Drama            ",7.4
The Inbetweeners,2011,R,97,Comedy            ,6.7
Chicken Little,2005,G,81,"Animation, Adventure, Comedy            ",5.7
Pet Sematary,1989,R,103,"Fantasy, Horror, Thriller            ",6.5
The Straight Story,1999,G,112,"Biography, Drama            ",8.0
Stuck in Love.,2012,R,97,"Comedy, Drama, Romance            ",7.2
The Mothman Prophecies,2002,PG-13,119,"Drama, Horror, Mystery            ",6.4
Into the Blue,2005,PG-13,110,"Action, Adventure, Crime            ",5.9
Broken City,2013,R,109,"Action, Crime, Drama            ",6.1
Flubber,1997,PG,93,"Comedy, Family, Sci-Fi            ",5.3
Eat Pray Love,2010,PG-13,133,"Biography, Drama, Romance            ",5.8
Kingpin,1996,PG-13,114,"Comedy, Sport            ",6.9
Look Whos Talking,1989,PG-13,93,Comedy            ,5.9
The Black Dahlia,2006,R,121,"Crime, Drama, Mystery            ",5.6
The Fox and the Hound,1981,G,83,"Animation, Adventure, Drama            ",7.2
Rebel Without a Cause,1955,PG-13,111,Drama            ,7.6
The Fisher King,1991,R,137,"Comedy, Drama, Fantasy            ",7.5
Awake,2007,R,84,"Crime, Drama, Mystery            ",6.5
Uncle Buck,1989,PG,100,Comedy            ,7.1
The Wild Bunch,1969,R,135,"Action, Adventure, Drama            ",7.9
The Fourth Kind,2009,PG-13,98,"Horror, Mystery, Sci-Fi            ",5.9
Jane Eyre,2011,PG-13,120,"Drama, Mystery, Romance            ",7.3
"Paris, je taime",2006,R,120,"Comedy, Drama, Romance            ",7.2
RoboCop 2,1990,R,117,"Action, Crime, Sci-Fi            ",5.8
Star Trek: The Motion Picture,1979,G,143,"Adventure, Mystery, Sci-Fi            ",6.4
The Grapes of Wrath,1940,Passed,129,Drama            ,8.1
Confessions of a Shopaholic,2009,PG,104,"Comedy, Romance            ",5.8
Unfaithful,2002,R,124,"Drama, Romance, Thriller            ",6.7
Wild Strawberries,1957,Not Rated,91,"Drama, Romance            ",8.1
Angel Heart,1987,X,113,"Horror, Mystery, Thriller            ",7.2
Witness for the Prosecution,1957,Approved,116,"Crime, Drama, Mystery            ",8.4
Get Shorty,1995,R,105,"Comedy, Crime, Thriller            ",6.9
Assassins,1995,R,133,"Action, Crime, Thriller            ",6.3
Trick r Treat,2007,R,82,"Comedy, Horror            ",6.7
The Guest,2014,R,100,"Action, Mystery, Thriller            ",6.7
The Hustler,1961,Not Rated,134,"Drama, Sport            ",8.0
The Conjuring 2,2016,R,134,"Horror, Mystery, Thriller            ",7.3
Doomsday,2008,R,105,"Action, Sci-Fi, Thriller            ",5.9
Tommy Boy,1995,PG-13,97,"Adventure, Comedy            ",7.1
A Cinderella Story,2004,PG,95,"Comedy, Family, Romance            ",5.9
Paper Towns,2015,PG-13,109,"Adventure, Comedy, Drama            ",6.2
A Very Long Engagement,2004,R,133,"Drama, Mystery, Romance            ",7.6
Derailed,2005,R,108,"Crime, Drama, Thriller            ",6.6
Waynes World 2,1993,PG-13,95,"Comedy, Music            ",6.2
Red Dawn,2012,PG-13,93,"Action, Drama, War            ",5.3
"Spring, Summer, Fall, Winter... and Spring",2003,R,103,"Drama, Romance            ",8.0
Fearless,2006,PG-13,104,"Action, Biography, Drama            ",7.6
Stir of Echoes,1999,R,99,"Horror, Mystery, Thriller            ",6.9
The Last Song,2010,PG,107,"Drama, Music, Romance            ",6.0
Premonition,2007,PG-13,96,"Drama, Fantasy, Mystery            ",5.9
Kung Fu Panda 3,2016,PG,95,"Animation, Action, Adventure            ",7.1
The Birdcage,1996,R,117,Comedy            ,7.2
Baahubali: The Beginning,2015,Not Rated,159,"Action, Drama            ",8.0
The Killing,1956,Approved,84,"Crime, Drama, Film-Noir            ",7.9
Cabin Fever,2002,R,93,Horror            ,5.6
Turbo,2013,PG,96,"Animation, Adventure, Comedy            ",6.4
40 Days and 40 Nights,2002,R,96,"Comedy, Romance            ",5.6
Dantes Peak,1997,PG-13,108,"Action, Adventure, Thriller            ",6.0
Wanderlust,2012,R,98,"Comedy, Romance            ",5.6
Three Colors: Blue,1993,R,94,"Drama, Music, Mystery            ",7.9
Hitman: Agent 47,2015,R,96,"Action, Crime, Thriller            ",5.7
Flatliners,1990,R,115,"Drama, Horror, Sci-Fi            ",6.5
